"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TNRC6C",5.37936953532567e-07,0.537157824772044,0.195,0.037,0.00764193236188364
"PPP1R16B",5.34727577637321e-21,0.533953133429395,0.171,0.008,7.59633996791578e-17
"DDHD2",6.2241809995296e-08,0.533375649521901,0.22,0.041,0.000884207152793174
"MAP4K1",2.20508154464116e-06,0.527852834006342,0.268,0.068,0.0313253884231723
"SFT2D3",6.57910048821899e-07,0.521803343489758,0.22,0.045,0.00934627015356389
"SBK1",5.14345400055265e-20,0.52040975255032,0.171,0.009,7.30679075318509e-16
"OFD1",3.10002179695035e-06,0.517574228301374,0.293,0.08,0.0440389096474766
"AGK",5.96946041604307e-08,0.514890623610596,0.22,0.04,0.000848021546703079
"MCM6",2.39840695602479e-13,0.506755857200547,0.171,0.015,3.40717692172882e-09
"SYTL2",8.46616922581153e-14,0.505260234507453,0.171,0.014,1.20270400021879e-09
"ZNF507",2.0823456621063e-13,0.502663179846611,0.171,0.015,2.9581802475882e-09
"DUSP8",2.47370827623735e-16,0.501390457772675,0.146,0.008,3.51414997722278e-12
"DLG3",1.18385657234594e-27,0.492057024279204,0.146,0.004,1.68178664667464e-23
"SLA2",1.11435658938229e-06,0.490885530270504,0.146,0.024,0.0158305497087649
"SCML4",9.59324487009051e-14,0.489022452128733,0.171,0.014,1.36281636624506e-09
"SHISAL2A",4.99217703975968e-22,0.479640205560826,0.146,0.005,7.09188670268261e-18
"PRSS23",3.4382580119984e-18,0.473426002779842,0.146,0.007,4.88438933184493e-14
"NLRC3",8.977291341064e-15,0.469597630890329,0.146,0.009,1.27531400791155e-10
"F2R",1.13518868316376e-09,0.469055854350473,0.195,0.027,1.61264904330244e-05
"SUPT3H",2.27966161742067e-09,0.469017413995813,0.171,0.022,3.23848729370781e-05
"BICDL1",3.38620481038487e-17,0.468898038530408,0.146,0.008,4.81044255363275e-13
"ZNF827",1.78295644162048e-15,0.467657324596164,0.146,0.009,2.53286792096605e-11
"TTC16",3.03727887096454e-29,0.462117986863789,0.122,0.002,4.31475836409223e-25
"TBX21",1.91166173573856e-09,0.459148889318948,0.122,0.011,2.71570666179019e-05
"YPEL1",7.19452373841364e-10,0.459118025259085,0.146,0.015,1.02205404227904e-05
"FAM102A",6.95345305203656e-08,0.458892457523061,0.171,0.026,0.000987807540572314
"DOCK9",2.04089707482337e-14,0.458146689172146,0.122,0.006,2.89929838449408e-10
"DTHD1",1.15564151290349e-27,0.457647572728732,0.146,0.004,1.6417043332307e-23
"RRAS2",2.94663236813884e-30,0.456885213286533,0.146,0.003,4.18598594217803e-26
"SH3YL1",3.22834578437555e-06,0.45553177037419,0.171,0.033,0.0458618802128391
"GLCCI1",8.47354133646768e-07,0.453353611622824,0.171,0.03,0.012037512822586
"ZNF439",4.96223674629974e-07,0.452590654229989,0.146,0.022,0.00704935352179341
"CALM1",2.67394668454827e-08,0.444551815422625,1,0.885,0.000379860866006927
"ADAT2",9.66849042202148e-09,0.443932986451834,0.171,0.023,0.000137350574935237
"BTG3",1.38585180821022e-06,0.439535319917481,0.22,0.046,0.0196874107874344
"CARD11",2.7743596670611e-12,0.439479480282603,0.146,0.012,3.94125534302699e-08
"ATAD5",2.70350848484261e-06,0.438872979852083,0.195,0.04,0.0384060415356741
"CHI3L2",9.41210013176799e-12,0.436442172480376,0.146,0.012,1.33708294471896e-07
"TRIB2",9.80482586013815e-12,0.435940948605856,0.146,0.012,1.39287356169123e-07
"BAG2",7.44238763900855e-10,0.43314461728491,0.122,0.011,1.05726558799755e-05
"HOOK2",3.72805704199815e-07,0.431422306797888,0.171,0.028,0.00529607783386258
"RNF157",9.3163522746714e-12,0.426171078336731,0.146,0.012,1.32348100413982e-07
"SLAIN1",1.89339540655198e-09,0.420200297763128,0.122,0.011,2.68975751454774e-05
"NMT2",4.18782222477113e-10,0.419495433913717,0.146,0.015,5.94922025250986e-06
"NPDC1",6.53048859640408e-10,0.418465587830025,0.122,0.011,9.27721210005163e-06
"TOX",1.52233648650862e-16,0.416243901068068,0.122,0.005,2.16263121273414e-12
"SPON1",1.58580945031028e-33,0.403881164363064,0.122,0.001,2.25280090511079e-29
"AGMAT",2.00932452949817e-11,0.39923994439544,0.122,0.009,2.8544464266051e-07
"KIF19",3.22750804141629e-29,0.397549465152394,0.122,0.002,4.58499792363598e-25
"AGAP2",7.63541012329355e-07,0.393525802440089,0.146,0.022,0.0108468636211508
"JAKMIP2",2.07131652991148e-14,0.392499935443246,0.122,0.006,2.94251226239225e-10
"PDGFD",3.1921376941869e-23,0.390837965302583,0.122,0.003,4.53475080836191e-19
"AUTS2",3.43031878009454e-07,0.388719421688853,0.146,0.021,0.0048731108590023
"HDGFL3",1.10368407993112e-06,0.383229380135883,0.122,0.016,0.0156789360395015
"ABCA5",5.13009028541656e-08,0.380907171024177,0.146,0.019,0.000728780625946277
"SEMA4C",2.36629437554624e-08,0.378720684332726,0.122,0.013,0.0003361557789901
"ZNF48",3.07218054048594e-08,0.367920939799258,0.122,0.013,0.000436433967581432
"SIT1",1.15493227458908e-12,0.366836868504376,0.122,0.008,1.64069678928124e-08
"SH2D2A",2.92530301092251e-10,0.357535772285455,0.122,0.01,4.15568545731652e-06
"S1PR1",1.1906333013658e-07,0.356362142469056,0.122,0.014,0.00169141366792025
"SLFN13",7.407774645035e-07,0.35521322196158,0.122,0.016,0.0105234846607367
"ALDH18A1",1.63164737554629e-08,0.34167275002463,0.122,0.012,0.000231791826170106
"TNFRSF25",1.08157500197078e-06,0.340950422628286,0.122,0.016,0.0153648544779969
"PFDN5",1.97242215844561e-06,-0.28328880918564,1,0.999,0.0280202291828783
"RPS11",3.74745327555211e-07,-0.287108551214589,0.976,1,0.00532363212324932
"PABPC1",1.2864269534193e-06,-0.293126477231975,1,1,0.0182749813002746
"LAPTM5",1.0974106577081e-06,-0.30471900767959,1,0.992,0.0155898158034012
"OAZ1",5.91601874661913e-09,-0.321396108980527,1,0.999,8.40429623144713e-05
"FTH1",9.98675446115172e-10,-0.322458557338158,1,1,1.41871833875121e-05
"S100A4",1.76894084619908e-09,-0.340259253566708,1,0.998,2.51295736611041e-05
"SRGN",4.49419949987225e-07,-0.341936487226489,1,0.999,0.00638445980951852
"GAPDH",5.10027810024485e-07,-0.343410602226863,1,0.999,0.00724545506920783
"FTL",1.35469250554414e-10,-0.344431172789742,1,1,1.92447617337601e-06
"PSAP",6.18925192245957e-09,-0.344622594752517,1,0.992,8.79245128104607e-05
"CTSS",3.19500259979846e-12,-0.353391358436901,1,0.999,4.5388206932737e-08
"COTL1",9.33858272295355e-10,-0.367029229613808,1,0.997,1.32663906162278e-05
"AIF1",5.03745074726655e-07,-0.385485063539657,0.976,0.981,0.00715620253156686
"CST3",4.30591162556996e-09,-0.396898323866918,1,0.996,6.11697805528468e-05
"FCN1",4.39450266666952e-07,-0.400209513299356,0.951,0.958,0.00624283048827073
"S100A6",2.00666156625826e-12,-0.40895076412298,1,1,2.85066342102649e-08
"ASAH1",5.02694655742448e-08,-0.416244278082459,1,0.933,0.000714128027947722
"LYZ",4.93084177763699e-09,-0.418286983122371,0.976,0.991,7.00475382931111e-05
"BRI3",1.6440219257631e-08,-0.436451353429776,0.976,0.965,0.000233549754773905
"VIM",1.83776033349732e-10,-0.437517326521439,1,0.995,2.6107223297663e-06
"TYROBP",1.0958437256654e-12,-0.451688765467277,0.976,0.996,1.55675559668026e-08
"GNAI2",3.21647901284198e-09,-0.457246101570499,0.951,0.991,4.56933008564331e-05
"SPI1",1.36567044362397e-06,-0.45779368576378,0.878,0.913,0.0194007143221221
"LGALS1",2.76568570911738e-07,-0.463083038258041,0.902,0.966,0.00392893311837215
"AP1S2",5.21277556214351e-07,-0.473238375503759,0.902,0.931,0.00740526896358107
"FCER1G",8.48497211803402e-08,-0.482350671548886,0.902,0.974,0.00120537513908791
"VSIR",8.30809894999932e-07,-0.510095892790798,0.829,0.902,0.011802485368369
"GSTP1",2.37805870596268e-07,-0.51101330720866,0.854,0.97,0.00337827019769058
"SERP1",7.80865100634101e-07,-0.514294985295051,0.854,0.949,0.011092969619608
"LST1",1.29436625315805e-09,-0.517545383978077,0.951,0.982,1.83877669923632e-05
"FKBP1A",3.36195850729871e-08,-0.517972077532822,0.878,0.922,0.000477599825546854
"DUSP1",9.25282492297767e-07,-0.537526590322963,0.902,0.956,0.0131445630855821
"TKT",1.09764732604804e-10,-0.550148469282287,0.951,0.963,1.55931779138384e-06
"EVI2B",1.53981136000746e-07,-0.554251670441495,0.829,0.939,0.00218745601802659
"CTSZ",1.37646286528586e-06,-0.557057308437605,0.756,0.836,0.0195540314642509
"CSTA",1.14643289677355e-08,-0.752564906073687,0.756,0.892,0.000162862257315651
