p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ARPC5L,4.22400746871753e-53,0.672670634666995,0.574,0.334,6.00062501006012e-49
AKNA,4.41739998173961e-55,0.671296281625954,0.626,0.399,6.27535841405929e-51
KIR3DL1,1.21551554649322e-161,0.667786518908976,0.133,0.005,1.72676138534827e-157
RBM38,1.23701888987557e-62,0.665039696482,0.712,0.45,1.75730903495723e-58
PDGFD,9.04369166158381e-108,0.664813627961605,0.188,0.028,1.2847468374446e-103
GSAP,1.20268056300657e-48,0.657931153216737,0.276,0.108,1.70852800780714e-44
TGFB1,5.74239769352754e-101,0.654144756903248,0.879,0.669,8.15765016342522e-97
APOBEC3G,1.99238783393524e-38,0.651052732306964,0.444,0.252,2.83038615688841e-34
SIPA1,2.02521971032778e-46,0.650063729232536,0.519,0.299,2.87702712049164e-42
LPCAT1,7.17102883854169e-52,0.648757841135137,0.292,0.113,1.01871635680323e-47
DNAJB6,5.41646503668923e-61,0.645634273028401,0.706,0.474,7.69463023112073e-57
PLEKHG3,2.50210544382174e-85,0.640154415193672,0.163,0.026,3.55449099349317e-81
ZFP36,6.63203296617902e-67,0.638224449706342,0.805,0.599,9.42146603175392e-63
PAXX,2.02574239295883e-49,0.636921655907259,0.625,0.395,2.87776964343732e-45
PLEKHF1,3.39521194277439e-53,0.636309467147495,0.214,0.065,4.8232380859053e-49
CTSC,4.12835016286207e-49,0.633969520246159,0.603,0.376,5.86473424136186e-45
DHRS7,4.2874024435258e-46,0.633184979071083,0.538,0.323,6.09068391127274e-42
CD99,6.50811194997214e-87,0.631105292765512,0.87,0.64,9.24542383613042e-83
KIR2DL3,2.77339006601643e-145,0.631047242460098,0.124,0.006,3.93987792778293e-141
PLEK,1.29161794373058e-51,0.63016676869579,0.593,0.335,1.83487245086366e-47
SLAMF7,3.19337102865135e-41,0.625035755335146,0.3,0.133,4.5365028833021e-37
RNF115,4.27898233744781e-43,0.624335793344392,0.502,0.293,6.07872230857836e-39
KIR3DL2,3.28510290315748e-121,0.622439410183772,0.111,0.006,4.66681718422552e-117
MT2A,9.06359363995517e-46,0.622200402315145,0.709,0.518,1.28757411249203e-41
SRGN,6.00998875050331e-138,0.621729729840863,0.995,0.78,8.537790018965e-134
KLRG1,8.76589888976683e-38,0.62059472354266,0.366,0.18,1.24528359628028e-33
STOM,8.16963544807196e-48,0.616396837180381,0.432,0.218,1.1605784117531e-43
BPGM,9.67927764815745e-44,0.616053755436198,0.223,0.08,1.37503818269725e-39
FURIN,5.8447507173718e-40,0.615566420274304,0.255,0.107,8.30305286909837e-36
C1orf174,1.94391619984942e-41,0.615437812453488,0.323,0.149,2.76152735350608e-37
NFIL3,8.26193284622923e-38,0.615279163869789,0.247,0.104,1.17369018013532e-33
IQGAP2,1.13063718700702e-42,0.613697017294577,0.556,0.344,1.60618318786217e-38
ZBP1,2.2673744837517e-41,0.613586779857846,0.273,0.113,3.22103219161767e-37
SYTL2,9.05977102652147e-50,0.613041693686029,0.222,0.073,1.28703107202764e-45
PDIA3,1.02532809676501e-80,0.612520034739573,0.824,0.637,1.45658109426437e-76
RHOBTB3,3.05011932020783e-108,0.611099992456327,0.138,0.013,4.33299950628725e-104
CDK2AP2,7.82016724474013e-37,0.606369591030088,0.355,0.183,1.11093295878778e-32
IL18R1,9.1525552842556e-55,0.604733860974679,0.162,0.039,1.30021200368135e-50
MIDN,2.97684272981149e-39,0.604112611596064,0.52,0.317,4.22890278197021e-35
FYN,7.51225459645154e-71,0.603014555239311,0.815,0.597,1.06719088797191e-66
ZNF600,1.3019941457437e-52,0.602264188137863,0.205,0.061,1.84961288344351e-48
ABCB1,6.35274546207307e-69,0.601900042146135,0.183,0.04,9.02471020342101e-65
UBB,6.62093691294316e-155,0.60180102939256,0.986,0.86,9.40570297852706e-151
EOMES,1.28708875478336e-60,0.601610542825147,0.179,0.043,1.82843828504524e-56
CBLB,1.22423827609128e-40,0.601475328756833,0.41,0.211,1.73915289501527e-36
TSPAN32,3.48953830151358e-43,0.600293506188815,0.275,0.112,4.95723811113019e-39
TRAPPC10,6.81668844850869e-39,0.596557950461884,0.448,0.251,9.68378760995144e-35
BTN3A2,1.24969382810636e-37,0.596431224299353,0.501,0.301,1.7753150522079e-33
OSTF1,6.9490407137042e-46,0.595756277336516,0.634,0.437,9.87180723788818e-42
SIRT2,2.37004702861639e-36,0.595634458956561,0.339,0.172,3.36688880885244e-32
SDF4,2.43472443993843e-34,0.594976502532952,0.445,0.27,3.45876953937653e-30
HSPA5,9.25363634984646e-47,0.594404700091231,0.677,0.497,1.31457157985919e-42
SUN2,4.10623196320072e-57,0.5872441791394,0.732,0.503,5.83331312692294e-53
BIN2,4.84667028248875e-82,0.586701439327091,0.859,0.67,6.88517980330352e-78
RBM39,5.91096456597586e-126,0.581805272612716,0.948,0.828,8.3971162624253e-122
SPN,1.16134089507457e-37,0.581724133220262,0.546,0.356,1.64980087554293e-33
CLIC1,2.10682592279369e-80,0.579086902808952,0.878,0.653,2.99295690592072e-76
PLAAT4,1.66554502101536e-73,0.578203901091781,0.871,0.65,2.36607325685442e-69
RAMP1,6.07639724898553e-138,0.575628123435112,0.121,0.006,8.63212993190884e-134
VAV3,7.19642322450385e-44,0.575001925138173,0.242,0.091,1.02232388327302e-39
MXRA7,2.16625274002725e-44,0.573691394910856,0.232,0.083,3.07737864248271e-40
DBI,1.32156619459761e-60,0.572400030699384,0.776,0.593,1.87741693604536e-56
UTRN,6.46690507694314e-42,0.571741202080588,0.634,0.442,9.18688535230542e-38
SERPINB6,3.25873463213482e-32,0.571091487785846,0.478,0.306,4.62935841841073e-28
TENT4B,8.86522335856655e-36,0.570774731762189,0.331,0.163,1.25939363031796e-31
BZW1,1.29291513274055e-60,0.569921734477847,0.767,0.595,1.83671523757122e-56
FEZ1,1.97857190916579e-98,0.568059553261556,0.129,0.013,2.81075925416092e-94
CTSD,1.40456257005743e-47,0.567961622740301,0.688,0.437,1.99532158702358e-43
PRR5,8.52109614437495e-37,0.565304404425995,0.288,0.129,1.21050691826991e-32
SERTAD3,7.98209303099795e-29,0.560237837054453,0.265,0.133,1.13393613598357e-24
CSNK1D,1.03542245306935e-33,0.558919537670123,0.425,0.245,1.47092113683031e-29
TSPOAP1,7.36259411266485e-64,0.558744403783654,0.158,0.033,1.04593011964517e-59
SYNE2,7.04437910658811e-47,0.557746070100334,0.724,0.481,1.00072449588191e-42
TMIGD2,3.68005014004817e-31,0.556644208005333,0.256,0.114,5.22787922895242e-27
TLN1,1.74021277518638e-65,0.556520237094595,0.805,0.616,2.47214626842977e-61
STX8,2.60243471863629e-30,0.55639416878595,0.341,0.184,3.69701876129471e-26
IL2RG,2.55422116709634e-64,0.556238369463368,0.856,0.623,3.62852658997706e-60
GFOD1,1.37107412007077e-62,0.556122399127324,0.157,0.033,1.94774789497253e-58
FCRL3,1.20423929148863e-50,0.555625535130718,0.218,0.068,1.71074233748875e-46
ENC1,7.85852866998585e-34,0.551393877981594,0.229,0.095,1.11638258285819e-29
ABHD2,8.51899212733632e-31,0.550831290003298,0.271,0.134,1.2102080216094e-26
HBA1,1.94181507139526e-22,0.54984886677788,0.116,0.041,2.7585424904241e-18
PDZD4,2.47975865159818e-74,0.549380260592359,0.145,0.024,3.52274514046037e-70
TMED9,1.36750284279773e-38,0.548568799942802,0.492,0.294,1.94267453847845e-34
PTPN4,1.76788041369321e-36,0.542963953741234,0.549,0.334,2.51145091569258e-32
RFTN1,1.31444168702242e-30,0.542456992705638,0.285,0.142,1.86729586058405e-26
CALR,1.21741156822778e-57,0.540895064731702,0.818,0.664,1.72945487382439e-53
KIR2DL1,1.01543637186669e-118,0.539968734140375,0.113,0.007,1.44252890987382e-114
PLEKHA2,2.06489549555791e-32,0.539825652919027,0.415,0.242,2.93339054098957e-28
