p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CEMIP2,6.2995914569391e-15,0.604080781490542,0.78,0.213,9.41725926897826e-11
IL2RB,1.37753344071961e-44,0.59710420110485,0.39,0.02,2.05927474053174e-40
FYN,2.4848630541964e-07,0.590824409497909,0.951,0.564,0.0037146217797182
B2M,1.61787421516487e-13,0.587425218547941,1,1,2.41856016424996e-09
HLA-C,5.38737801835875e-07,0.587074435782806,1,0.98,0.0080535913996445
CCSER2,8.53812743205258e-11,0.584157983651918,0.61,0.193,1.27636466981754e-06
VAMP2,2.90850856282441e-07,0.583977084163222,0.927,0.628,0.00434792945056621
SYAP1,4.88713439543678e-08,0.580988511685588,0.756,0.337,0.000730577720773844
MYL12A,2.59929200227357e-07,0.579648817809502,1,0.903,0.00388568161419877
MATK,8.14438868984028e-50,0.57724895005232,0.488,0.029,1.21750466524422e-45
APMAP,4.8502091242051e-11,0.571167490300673,0.585,0.175,7.2505776197742e-07
PITPNC1,4.69083894828255e-11,0.568943623320115,0.61,0.191,7.01233514378759e-07
RPS3,2.50598077514469e-09,0.567533958423037,1,0.991,3.74619066076379e-05
NCL,2.95624413355457e-06,0.566369509194146,1,0.753,0.0441928935525073
MBP,1.22558150930343e-08,0.564688391273852,0.976,0.482,0.00018321217982577
NOP58,2.88395382573614e-14,0.559402521727896,0.707,0.204,4.31122257409295e-10
HSP90AA1,8.77598358685979e-07,0.553122125753656,0.976,0.867,0.0131192178639967
CD27,1.73171480889287e-27,0.551946425227121,0.317,0.024,2.58874046781396e-23
FCRL6,4.86660820156924e-50,0.548904483062347,0.366,0.015,7.27509260052586e-46
CNOT6L,3.52049045683154e-08,0.548140279229518,0.854,0.408,0.000526278118391746
NCK1,1.84944556589658e-11,0.543679473220826,0.707,0.225,2.76473617645879e-07
NFATC3,3.22611488392329e-08,0.543275753488285,0.732,0.316,0.000482271913997693
RBM38,3.61343358770001e-11,0.537274301490969,0.61,0.183,5.40172187025274e-07
COL6A2,1.05565983306959e-60,0.532979325232912,0.341,0.009,1.57810588445573e-56
OCIAD2,4.74040116527432e-25,0.532621088009445,0.439,0.052,7.08642570196858e-21
THEMIS,9.52550644945259e-42,0.531116659539361,0.39,0.022,1.42396795912867e-37
RPS29,9.18302701648173e-10,0.53076054766824,1,0.994,1.37277070869385e-05
TENT5C,1.31038497549547e-45,0.528014700823998,0.39,0.019,1.95889449986818e-41
TFDP2,1.71639606278046e-13,0.526047336956401,0.439,0.092,2.5658404742505e-09
APBA2,6.2372388072895e-49,0.525067894626201,0.463,0.026,9.32404829301707e-45
RHOF,5.88272739299683e-07,0.524145854967988,0.707,0.327,0.00879408917979096
PRKACB,1.728434023241e-10,0.523444605607427,0.512,0.151,2.58383602134296e-06
ZNF683,3.75919686573834e-57,0.522514621160001,0.22,0.002,5.61962339459225e-53
EAPP,1.17216798577643e-06,0.519675565812044,0.756,0.388,0.0175227392193718
PRDX2,3.63617852530861e-10,0.519469214755398,0.683,0.237,5.43572327748384e-06
DHX36,2.43748482817009e-06,0.518875926643496,0.732,0.356,0.0364379606963146
ATG2A,4.07991609411807e-07,0.518487071998162,0.561,0.223,0.00609906656909711
BCL9L,7.86892944059391e-17,0.517104018515792,0.537,0.106,1.17632626207438e-12
TUT4,1.6205329501884e-13,0.516838867526331,0.634,0.163,2.42253470723664e-09
ZNF331,7.47853162940194e-12,0.516484190355412,0.366,0.074,1.1179656932793e-07
SNRPN,7.42381599797641e-14,0.515491994934851,0.512,0.118,1.10978625353749e-09
CDC25B,4.24763037098863e-21,0.51524511007576,0.463,0.068,6.3497826415909e-17
MIF,5.15308383791598e-07,0.512576857219957,0.829,0.441,0.0077033450293006
TSPYL2,3.1419874335608e-09,0.510250802170086,0.366,0.09,4.69695701443004e-05
NFATC2,1.4193076129846e-35,0.509768934887415,0.39,0.027,2.12172295065068e-31
CBLB,4.91475495946165e-13,0.508057297834865,0.439,0.095,7.34706718889922e-09
SYTL3,3.57126696437257e-11,0.507939364279403,0.415,0.097,5.33868698504056e-07
ZNF276,3.60844410995914e-08,0.507469537867973,0.488,0.165,0.000539426309997792
TRAPPC2,9.54472987536856e-19,0.506891604739955,0.659,0.135,1.42684166906885e-14
ARID5B,5.85285473451045e-08,0.506670778074549,0.439,0.138,0.000874943254261967
RPL3,2.14801954740458e-06,0.505507344470351,1,0.971,0.0321107442141511
SPTAN1,2.89818602287623e-09,0.504262473548999,0.585,0.204,4.33249828559768e-05
TNIK,2.28577943452517e-20,0.503092520524409,0.39,0.049,3.41701167667167e-16
MTERF4,3.97284625997184e-12,0.502020089555342,0.61,0.177,5.9390078740319e-08
USP28,2.37437959596509e-12,0.501908560423623,0.415,0.087,3.54946005800822e-08
NCK2,1.04034516902958e-13,0.500311861123528,0.634,0.163,1.55521199318232e-09
NUCB2,4.01241088442111e-07,0.497431193122225,0.439,0.154,0.00599815303112112
RICTOR,9.30262665601496e-07,0.493491298015614,0.829,0.413,0.0139064965880768
NLRC5,3.75440162092506e-07,0.493454543395877,0.61,0.262,0.00561245498312087
MECP2,1.8338169194457e-07,0.489891712065167,0.829,0.403,0.00274137291287937
CHST12,5.85956376713834e-12,0.489062503774522,0.463,0.11,8.7594618754951e-08
NCR3,1.82390109221282e-32,0.483924426031964,0.268,0.013,2.72654974274894e-28
CD47,7.01085081387506e-07,0.482836284281121,0.927,0.499,0.0104805208816618
ZNF394,1.46330176398212e-06,0.481583765838058,0.634,0.292,0.0218748980697687
CYFIP2,1.25623450159399e-07,0.479480018379752,0.561,0.216,0.00187794495643285
SEPTIN1,8.27265986269747e-10,0.478693289253448,0.561,0.173,1.23667992287464e-05
USP36,1.17410017022357e-06,0.478579048577426,0.439,0.16,0.0175516234446721
KLRC4,2.12733160039449e-61,0.474878808314055,0.268,0.004,3.18014800942972e-57
P2RY8,5.21262534328349e-07,0.474128396783252,0.561,0.223,0.00779235362567449
ERN1,1.02039138938165e-09,0.473042574710084,0.463,0.132,1.52538308798663e-05
MED6,1.18242727914933e-10,0.471528077439024,0.561,0.164,1.76761053960034e-06
GK5,1.97053178081077e-06,0.470341356839932,0.463,0.168,0.0294574795913402
HLA-F,1.97755797135513e-06,0.467782658612007,0.951,0.572,0.0295625141137878
NAP1L4,1.12096924172233e-07,0.467193950381036,0.707,0.29,0.00167573691945071
RPL23A,7.96944855740448e-07,0.463682628344563,1,0.984,0.011913528648464
KIF20B,2.24102296752811e-12,0.460737575499375,0.415,0.087,3.35010523415778e-08
MED4,1.91366584747109e-06,0.459906133153544,0.707,0.343,0.0286073907538453
PTPN22,6.06083402320459e-11,0.459108245876782,0.537,0.148,9.06034078128855e-07
SLC4A7,2.03852535803026e-09,0.458662685913344,0.512,0.151,3.04739155771943e-05
RPS15A,3.73328191414043e-09,0.457093276730311,1,0.995,5.58088313344853e-05
CREM,5.11708761461007e-08,0.451429837310366,0.366,0.1,0.000764953427508059
VPS37B,2.64610135546904e-06,0.451359042857298,0.488,0.19,0.0395565691629068
GATA3,2.40067065815122e-38,0.450719559343451,0.317,0.015,3.58876256687026e-34
PRKCQ,8.83869264453775e-31,0.450405716050101,0.317,0.021,1.32129616343195e-26
ITGAL,3.23594770302119e-06,0.450184532902695,0.927,0.501,0.0483741822124638
PTMS,1.51459101800407e-06,0.449460142298742,0.341,0.106,0.0226416211281429
ZAP70,1.74929732192303e-28,0.448192213086587,0.39,0.034,2.61502456654274e-24
HIST1H1D,2.00357946852705e-08,0.446335759896378,0.463,0.143,0.000299515094750109
KLRF1,1.4563754602324e-14,0.443872395418678,0.195,0.018,2.17713567550141e-10
TOPORS,5.66109591432216e-08,0.44251370971358,0.585,0.205,0.00084627722823202
SYNRG,1.18880803895846e-06,0.441965050823234,0.512,0.2,0.01777149137439
BUB3,9.45847192333767e-08,0.43857255760158,0.707,0.292,0.00141394696781975
NELFCD,3.25427410313238e-09,0.438354863603791,0.512,0.16,4.86481435677259e-05
AP3M2,2.78797993617581e-15,0.438251031606903,0.268,0.032,4.16775120658921e-11
ATXN7L3B,1.29626134660158e-06,0.437925031650347,0.585,0.246,0.019377810870347
TMEM243,2.4314493783558e-07,0.43719562217071,0.634,0.269,0.00363477367570408
LEF1,6.52780644218938e-23,0.433579852595778,0.366,0.038,9.7584178504289e-19
ERGIC2,1.23552599766084e-09,0.432680198633229,0.488,0.141,1.8469878139032e-05
PTPN7,2.33755304929765e-08,0.432514405829099,0.39,0.108,0.000349440805339505
PIK3IP1,2.92342046999186e-08,0.430284356529961,0.512,0.172,0.000437022126059084
C16orf54,5.86544625558461e-08,0.428259531051406,0.61,0.215,0.000876825560747344
C1orf21,3.72510207112457e-23,0.427156696534586,0.293,0.024,5.56865508612412e-19
PDCD2,2.13119673341212e-07,0.426183706990798,0.78,0.346,0.00318592599677777
PCED1B,8.42138154479775e-21,0.424400153032399,0.268,0.023,1.25891232713182e-16
MED17,9.91484943855516e-07,0.421819465138549,0.463,0.168,0.0148217084256961
S1PR5,2.29275416054004e-33,0.420044064395913,0.268,0.012,3.42743819459131e-29
TMED4,6.26994755329616e-07,0.419726263559447,0.683,0.297,0.00937294459742243
MCTP2,4.05953134243478e-07,0.419479108484873,0.341,0.095,0.00606859340380576
KLHDC4,3.44834007966965e-10,0.419160081415208,0.366,0.085,5.15492358509816e-06
EOMES,2.77207967413637e-59,0.417334588990116,0.293,0.006,4.14398190486645e-55
ASXL1,2.034772454205e-09,0.415795429520721,0.61,0.204,3.04178134179106e-05
TMEM181,4.9276446803949e-08,0.413661063777785,0.415,0.12,0.000736633603272234
TSTD1,1.10255280645591e-08,0.412700379999255,0.561,0.187,0.000164820619037094
TRAT1,2.38368946354591e-34,0.411663445545193,0.341,0.021,3.56337737905479e-30
PRMT2,1.86111945374035e-06,0.41045415346302,0.829,0.398,0.0278218747139645
MSI2,1.93483558805057e-09,0.408952225226357,0.585,0.188,2.8923857205768e-05
P2RY10,6.65074835563974e-18,0.407180251571013,0.317,0.038,9.94220371684584e-14
SP140,8.73860246510658e-08,0.405554357587294,0.39,0.115,0.00130633368250878
PRKX,1.37992338324704e-06,0.404472103926991,0.732,0.33,0.02062847465616
CREBZF,1.72069056391892e-08,0.402133490641616,0.585,0.2,0.000257226032400239
GPR174,1.25368507211077e-13,0.399799016144944,0.317,0.049,1.8741338142984e-09
PATL2,7.44952810619108e-17,0.398644452915491,0.341,0.045,1.1136299565945e-12
H3F3B,1.68169101566447e-06,0.397924838805396,1,0.988,0.0251395989931681
ZMYND8,7.95408042563682e-09,0.394462978836537,0.488,0.148,0.000118905548282845
BCL2,2.95364814440287e-07,0.393779791376296,0.268,0.064,0.00441540861106785
GRAP2,5.6192586204481e-17,0.392029247797485,0.439,0.071,8.40022971170787e-13
SLFN12L,6.32774184513385e-36,0.390798758431012,0.341,0.019,9.45934128429059e-32
SFXN1,9.10030382421217e-16,0.387764341967844,0.561,0.115,1.36040441868148e-11
CCND2,4.86372437092278e-10,0.384753059385192,0.39,0.092,7.27078156209246e-06
TIPARP,2.20061212912243e-07,0.383002836301822,0.415,0.128,0.00328969507182512
WHAMM,7.37347829799017e-07,0.382918066245627,0.585,0.233,0.0110226127076655
ZBTB38,3.98840447806155e-07,0.381342399129174,0.488,0.17,0.00596226585425422
TECR,1.40216068144816e-06,0.379724162245678,0.634,0.264,0.0209609000269686
CD5,5.79457846961878e-32,0.37888081571483,0.317,0.019,8.66231535423312e-28
DLG1,1.47019291003014e-06,0.378373516255894,0.561,0.224,0.0219779138120406
MAGOHB,3.6918966290926e-07,0.377387547841445,0.341,0.098,0.00551901627083053
MRPS5,1.82478783631137e-06,0.376883043510067,0.683,0.304,0.0272787533650187
ELP2,7.76193953334216e-09,0.376326945282094,0.585,0.198,0.000116033234083932
MIB2,1.11218328427705e-12,0.374982990495857,0.439,0.092,1.66260279166576e-08
TNRC6C,2.56067236734003e-15,0.373047035626282,0.341,0.049,3.82794912193661e-11
PSIP1,7.31517295349278e-07,0.371780056720287,0.732,0.32,0.0109354520481764
SACM1L,3.29835575741484e-06,0.368600023244953,0.488,0.185,0.0493071202175944
PTGDR,8.0313694768253e-29,0.360595295385353,0.195,0.007,1.20060942309061e-24
OFD1,9.23534908886371e-13,0.357503145363525,0.488,0.11,1.38059233529424e-08
CHD3,3.14403185928778e-06,0.357018855013645,0.561,0.232,0.047000132264493
OXNAD1,1.47720773626357e-19,0.356968741250755,0.341,0.039,2.2082778449404e-15
TBX21,5.3805651541005e-19,0.356257654701941,0.22,0.016,8.04340684886483e-15
TSEN15,8.79361005861304e-12,0.355850321042818,0.488,0.118,1.31455676766206e-07
TMEM120B,3.28414591181496e-07,0.352482515028469,0.415,0.131,0.00490946972357218
HIST1H1E,4.51842626662211e-08,0.352370061968258,0.512,0.168,0.000675459542597339
NAE1,2.19664362159681e-09,0.351934540585032,0.366,0.088,3.28376254992507e-05
TIGIT,1.89190643045002e-34,0.351833359158823,0.268,0.012,2.82821092287973e-30
PBXIP1,2.82751042121517e-09,0.351291970784509,0.463,0.129,4.22684532867456e-05
ZNF32,1.65883557240084e-10,0.351152044146613,0.463,0.118,2.47979329718201e-06
MRPL10,2.89079934379101e-06,0.349838176846204,0.463,0.17,0.0432145593903318
KIF21A,1.43416768185104e-51,0.348515745567297,0.293,0.008,2.14393726759913e-47
AGK,8.53523545991988e-14,0.34719615774426,0.341,0.056,1.27593234890342e-09
RUVBL1,1.33816734405312e-08,0.347010651943189,0.341,0.083,0.000200042636262502
GPRIN3,9.68201600545658e-07,0.344917725882826,0.439,0.149,0.014473645726557
NSMCE3,1.85182933243203e-06,0.344385630096648,0.463,0.167,0.0276829966905264
ESF1,2.55917655169839e-06,0.342451343535988,0.415,0.141,0.0382571302713392
CD226,5.44201690986294e-08,0.340481211255382,0.317,0.077,0.000813527107855412
VPS13A,4.48505922980544e-09,0.339048429676571,0.366,0.088,6.70471504263616e-05
TSEN54,1.5434147356175e-12,0.338396460206554,0.341,0.061,2.30725068827459e-08
SYTL2,5.75957530427946e-19,0.337104941429672,0.22,0.016,8.60998912236736e-15
RBM43,3.82412072513228e-09,0.336947380162865,0.39,0.098,5.71667807200024e-05
CDC14A,1.47325839323579e-07,0.336850685121574,0.415,0.122,0.00220237397204818
GLCCI1,1.41502264213806e-10,0.333957347684897,0.244,0.038,2.11531734773218e-06
MAF,1.79498933707326e-10,0.332518112506045,0.341,0.068,2.68332955999081e-06
TMEM238,3.06002827721188e-10,0.331684694289012,0.341,0.072,4.57443627160404e-06
BCAS2,4.40524293829041e-07,0.331632080043611,0.537,0.197,0.00658539766845034
ABLIM1,2.1837966440245e-17,0.328180378897045,0.317,0.038,3.26455760315223e-13
PRRC2B,2.72922482199696e-06,0.327231398274316,0.683,0.301,0.0407991818640325
IMP3,8.49022667575245e-07,0.327185010590785,0.683,0.283,0.0126920398575823
PILRB,1.02965599289798e-10,0.326498740945492,0.39,0.087,1.53923274378319e-06
STMN1,9.75332397850178e-07,0.325149381706536,0.22,0.048,0.0145802440154623
SBK1,5.06261093486405e-24,0.323867416091596,0.22,0.012,7.56809708652827e-20
SS18L2,1.19968439492124e-06,0.323063286372664,0.585,0.223,0.0179340820196777
TRABD2A,1.0706327645141e-09,0.322930894732705,0.244,0.042,1.60048891967212e-05
RSBN1L,1.54944464144295e-06,0.319669981751754,0.561,0.216,0.0231626479449306
DGKA,3.71461769645381e-08,0.31909943638661,0.415,0.116,0.00055529819944288
LLGL2,3.90353898303249e-20,0.318764353200171,0.244,0.019,5.83540042573527e-16
BRD1,1.04374097462477e-06,0.31797160740622,0.439,0.145,0.0156028838296657
